ID,IATA,Airline,RATING,NUM_OF_REVIEWS
228,yy,Equatorial Congo Airlines [no longer operating],2.5 of 5 bubbles,8
229,B8,Eritrean Airlines,4 of 5 bubbles,2
230,EG,Ernest [no longer operating],2 of 5 bubbles,429
231,ET,Ethiopian Airlines,3.5 of 5 bubbles,5.472
232,EY,Etihad Airways,3.5 of 5 bubbles,16.241
233,yy,Etihad Regional [no longer operating],3.5 of 5 bubbles,66
234,YU,Euro Atlantic,2.5 of 5 bubbles,139
235,yy,European Coastal Airlines [no longer operating],2.5 of 5 bubbles,25
236,EW,Eurowings,3 of 5 bubbles,9.522
237,BR,EVA Air,4.5 of 5 bubbles,6.801
238,E9,Evelop,3 of 5 bubbles,1.299
239,FE,Far Eastern Air Transport [no longer operating],4.5 of 5 bubbles,15
240,FN,fastjet,3 of 5 bubbles,263
241,FJ,Fiji Airways,3.5 of 5 bubbles,2.474
242,AY,Finnair,4 of 5 bubbles,7.502
243,FY,firefly,3.5 of 5 bubbles,237
244,7F,First Air,4 of 5 bubbles,52
245,F8,Flair Airlines,2 of 5 bubbles,1.359
246,8W,Fly Allways,3 of 5 bubbles,3
247,IF,Fly Baghdad,1.5 of 5 bubbles,3
248,FC,Fly Corporate,5 of 5 bubbles,48
249,yy,Fly Tiwi,2 of 5 bubbles,1
250,5H,Fly540,3 of 5 bubbles,149
251,F3,Flyadeal,2.5 of 5 bubbles,89
252,KC,FlyArystan,2.5 of 5 bubbles,34
253,BE,Flybe [no longer operating],3.5 of 5 bubbles,8.145
254,BM,flybmi [no longer operating],3 of 5 bubbles,374
255,FO,Flybondi,3 of 5 bubbles,691
256,6W,FLYBOSNIA,1 of 5 bubbles,2
257,FZ,flydubai,3 of 5 bubbles,3.435
258,FT,FlyEgypt,3 of 5 bubbles,433
259,VP,Flyme,3.5 of 5 bubbles,31
260,XY,Flynas,3 of 5 bubbles,412
261,5F,FLYONE,1.5 of 5 bubbles,170
262,FP,FlyPelican,4 of 5 bubbles,19
263,FA,FlySafair,4 of 5 bubbles,929
264,ND,FMIAir,4 of 5 bubbles,9
265,BF,French bee,3 of 5 bubbles,1.467
266,F9,Frontier Airlines,2.5 of 5 bubbles,15.317
267,JH,Fuji Dream Airlines,4 of 5 bubbles,88
268,FU,Fuzhou Airlines,3 of 5 bubbles,5
269,GA,Garuda Indonesia,4 of 5 bubbles,7.978
270,9D,Genghis Khan,-1 of 5 bubbles,0
271,A9,Georgian Airways,3 of 5 bubbles,486
272,ST,Germania Airlines [no longer operating],4 of 5 bubbles,2.548
273,4U,Germanwings [Merged into Eurowings],3.5 of 5 bubbles,462
274,__,GLO Airlines (no longer operating),5 of 5 bubbles,8
275,G8,GoAir,3 of 5 bubbles,1.232
276,G3,GOL Airlines,3.5 of 5 bubbles,16.972
277,Y5,Golden Myanmar Airlines,4 of 5 bubbles,56
278,CN,Grand China Air,4.5 of 5 bubbles,10
279,DW,Great Dane,4.5 of 5 bubbles,6
280,__,Groupe Transair,3.5 of 5 bubbles,11
281,GF,Gulf Air,3.5 of 5 bubbles,1.435
282,__,Gum Air,4 of 5 bubbles,2
283,GX,GX Airlines,3 of 5 bubbles,5
284,HU,Hainan Airlines,3.5 of 5 bubbles,1.396
285,HA,Hawaiian Airlines,4 of 5 bubbles,7.543
286,NS,Hebei Airlines,3.5 of 5 bubbles,11
287,2L,Helvetic Airways,4 of 5 bubbles,262
288,H9,Himalaya Airlines,2.5 of 5 bubbles,5
289,UO,HK Express,3 of 5 bubbles,1.427
290,HX,Hong Kong Airlines,3.5 of 5 bubbles,1.723
291,A6,Hongtu Airlines,5 of 5 bubbles,1
292,A5,HOP!,3.5 of 5 bubbles,1.494
293,MR,Hunnu Air,4 of 5 bubbles,16
294,II,IBC Airways,4 of 5 bubbles,1
295,IB,Iberia,3 of 5 bubbles,19.686
296,I2,Iberia Express,3.5 of 5 bubbles,3.166
297,FW,IBEX,4 of 5 bubbles,18
298,FI,Icelandair,3.5 of 5 bubbles,7.766
299,6E,IndiGo,3.5 of 5 bubbles,7.772
300,7I,InselAir,1.5 of 5 bubbles,281
301,JY,interCaribbean,2 of 5 bubbles,116
302,4O,Interjet,3.5 of 5 bubbles,6.726
303,IO,IrAero,3.5 of 5 bubbles,33
304,EP,Iran Aseman Airlines,3.5 of 5 bubbles,92
305,IR,IranAir,3.5 of 5 bubbles,185
306,IA,Iraqi Airways,3 of 5 bubbles,78
307,yy,Island Air [no longer operating],3.5 of 5 bubbles,156
308,6H,Israir,3 of 5 bubbles,394
309,I8,Izhavia,3.5 of 5 bubbles,4
310,JM,Jambojet,3.5 of 5 bubbles,191
311,JL,Japan Airlines (JAL),4.5 of 5 bubbles,9.008
312,J9,Jazeera Airways,2.5 of 5 bubbles,229
313,QD,JC Cambodia,2.5 of 5 bubbles,74
314,7C,Jeju Air,3.5 of 5 bubbles,858
315,9W,Jet Airways [no longer operating],3.5 of 5 bubbles,12.123
316,LS,Jet2.com,4.5 of 5 bubbles,31.065
317,B6,JetBlue,4 of 5 bubbles,17.373
318,W2,JetClass,-1 of 5 bubbles,0
319,yy,JETGO,3 of 5 bubbles,104
320,JA,JetSmart,3 of 5 bubbles,721
321,JQ,Jetstar Airways - Australia & New Zealand,3 of 5 bubbles,12.340
322,3K,Jetstar Asia Airways - Singapore,3 of 5 bubbles,1.890
323,GK,Jetstar Japan,3 of 5 bubbles,1.089
324,BL,Jetstar Pacific Airlines - Vietnam,2.5 of 5 bubbles,1.103
325,WU,Jetways Airlines, Kenya [NOT Jet Airways of India],2 of 5 bubbles,5
326,RY,Jiangxi Air,-1 of 5 bubbles,0
327,LJ,Jin Air,4 of 5 bubbles,232
328,R5,Jordan Aviation,2 of 5 bubbles,42
329,JR,Joy Air,3 of 5 bubbles,2
330,XE,JSX,4 of 5 bubbles,138
331,3J,Jubba Airways,2.5 of 5 bubbles,12
332,HO,Juneyao Airlines,3.5 of 5 bubbles,225
333,yy,Kalstar Aviation,3.5 of 5 bubbles,20
334,RQ,Kam Air,3 of 5 bubbles,20
335,K8,Kan Airlines,3.5 of 5 bubbles,51
336,KQ,Kenya Airways,3 of 5 bubbles,2.759
337,Y9,Kish Air,3.5 of 5 bubbles,41
338,KL,KLM Royal Dutch Airlines,4 of 5 bubbles,30.555
339,KE,Korean Air,4.5 of 5 bubbles,5.181
340,K9,KrasAvia,4 of 5 bubbles,1
341,MN,Kulula,3.5 of 5 bubbles,1.157
342,KY,Kunming Airlines,3.5 of 5 bubbles,5
343,KU,Kuwait Airways,3 of 5 bubbles,1.305
344,B0,La Compagnie,4 of 5 bubbles,465
345,yy,La Costena,3 of 5 bubbles,15
346,TM,LAM Mozambique,3 of 5 bubbles,125
347,y1,LAN Airlines (now LATAM Airlines),4 of 5 bubbles,3.335
348,LQ,Lanmei Airlines,3 of 5 bubbles,138
349,QV,Lao Airlines,4 of 5 bubbles,445
350,LK,Lao Skyway,4 of 5 bubbles,52
351,QL,Laser Airlines,3.5 of 5 bubbles,136
352,LA,LATAM Airlines,3.5 of 5 bubbles,39.452
353,yy,Latin American Wings [no longer operating],2 of 5 bubbles,30
